Name,Position,Age,Nat,Height,Weight,Personality,Club,Transfer Value,Av Rat,Gls,Pens S,Pen/R,Shot/90,Shot %,ShT/90,xG,Asts/90,Ps C/90,Pas %,K Ps/90,CCC,Cr A,Cr C/A,Tck/90,Tck R,K Tck,Int/90,Clear,Fls,Aer A/90,Hdrs W/90,Hdr %,Gl Mst,Drb/90,FA,Dist/90,Yel,Red,Off,Apps,Mins,Shots,Ast,Pens,Mins/Gm,ShT,Hdrs A,Cr C,Distance,Drb,Hdrs,Itc,K Pas,Pas A,Ps C,Tck A,Tck C,Expires,Salary,Preferred Foot,Acc,Aer,Agg,Agi,Ant,Bal,Bra,Cmd,Com,Cmp,Cnt,Cor,Cro,Dec,Det,Dri,Ecc,Fin,Fir,Fla,Fre,Han,Hea,Jum,Kic,Ldr,Lon,L Th,Mar,Nat,OtB,1v1,Pac,Pas,Pen,Pos,Pun,Ref,TRO,Sta,Str,Tck,Tea,Tec,Thr,Vis,Wor,K Hdrs/90,Blk/90,xG/shot,Sprints/90,Poss Won/90,Poss Lost/90,Pres A/90,Pres C/90,Pr passes/90,xA/90,Blk,xGP,xSv %,Conv %,OP-KP/90,Svt,xGP/90,OP-KP,Sv %,Svh,Svp,All/90,Cln/90,NP-xG/90,Pens Saved Ratio,NP-xG,Division,Style,Media Description,Media Handling,FK Shots,Ch C/90,Clr/90,Crs A/90,Cr C/90,Goals Outside Box,Hdrs L/90,K Tck/90,OP-Cr %,OP-Crs A/90,OP-Crs C/90,Ps A/90,Shts Blckd/90,Shots Outside Box/90,xG/90,Saves/90,Inf,Rec
Nicolás Tagliafico,"D (LC), WB/M (L)",32,ARG,"5'8""",147 lbs,Perfectionist,Lyon,£850K - £8.8M,6.92,0,0,-,0.12,33%,0.04,0.25,0.12,47.56,86%,0.97,1,57,5%,3.17,86%,3,2.19,18,49,5.12,3.90,76%,0,1.02,24,7.6mi,4,3,4,26 (3),"2,216",3,3,0,76.41,1,126,3,186.2mi,25,96,54,24,"1,356","1,171",91,78,30/6/2025,"£38,500 p/w",Left,11,2-4,19,13,14,14,17,2-4,1-2,12,13,7-9,10-13,12,15,10,1-2,5-7,13,12,9-11,1-4,15,13,2-5,16,9,12-14,15,13,13,2-4,10,13,5-8,14,1-2,1,1-3,14,12,16,15,12,2-4,12,17,0.81,0.57,0.08,14.78,13.44,13.61,10.32,2.92,6.05,0.10,14,-,-,-,0.97,-,-,24,-,-,-,-,-,0.01,-,0.25,Ligue 1 Uber Eats,Leader,Fullback,"Outspoken, Evasive",0,0.04,0.73,2.31,0.12,0,1.22,0.12,5%,2.31,0.12,55.07,0.41,0.08,0.01,-,Int,- -  - 
Leonardo Spinazzola,D/WB/M (L),32,ITA,"6'1""",165 lbs,Light-Hearted,Napoli,£2.3M,6.73,0,0,-,1.52,33%,0.51,0.79,0.25,33.39,85%,1.27,1,27,3%,3.43,96%,0,2.03,7,8,3.43,2.28,67%,0,2.79,11,8.2mi,0,0,2,1 (28),709,12,2,0,24.45,4,27,1,64.4mi,22,18,16,10,310,263,28,27,30/6/2025,"£54,000 p/w",Right,15,1-2,8,14,12,12,8,1-4,2-5,12,12,4-6,14-16,12,13,14,1-2,7-9,15,16,4-6,2-4,11,11,1-2,6,9,7-10,11,9,16,1,14,14,6-8,10,1-3,1-3,1-2,11,10,10,11,15,1-3,13,11,0.00,0.63,0.07,15.87,9.77,14.34,11.42,3.17,4.82,0.37,5,-,-,-,1.27,-,-,10,-,-,-,-,-,0.10,-,0.79,Serie A TIM,Technical,Attacking full back,Unflappable,0,0.13,0.89,3.43,0.13,1,1.14,0.00,4%,3.43,0.13,39.35,0.00,0.63,0.10,-,Lst,- -  - 
Bernd Leno,GK,33,GER,"6'3""",180 lbs,Fairly Professional,Fulham,Not for Sale,6.86,0,0,-,-,-,-,0.00,-,18.28,73%,0.03,0,-,-,0.08,50%,0,-,-,0,-,-,-,1,-,13,3.7mi,0,0,0,39,"3,466",0,0,0,88.87,-,-,-,142.7mi,0,-,0,1,971,704,6,3,30/6/2026,"£90,000 p/w",Right,13,14,8,14,14,14,14,14,13,12,14,1-4,2-5,10,11-13,1,13,3-5,10,2-5,6-8,15,5-7,14,15,9,2-4,2-4,1-4,13-16,4-6,17,9,11,1-3,13,12,17,16,10-12,11,1-3,16,9,12,6-8,12,0.00,-,0.00,0.00,3.22,7.17,0.00,0.00,0.00,0.00,-,14.23,88%,-,0.03,27,0.37,1,77%,39,72,1.14,0.31,0.00,50%,0.00,Premier League,Shot Stopper,Experienced goalkeeper,Level-headed,-,-,1.17,-,-,-,-,0.00,-,-,-,25.21,-,-,0.00,3,,- -  - 
Marcos Alonso,"D (LC), WB/M (L)",34,ESP,"6'2""",189 lbs,Balanced,Celta de Vigo,£450K - £4.6M,6.94,0,0,-,0.20,57%,0.12,1.29,0.06,40.37,87%,1.88,6,261,13%,3.23,86%,4,3.26,38,38,4.13,3.00,73%,0,1.39,44,7.9mi,5,0,2,35,"3,117",7,2,0,89.06,4,143,37,272.8mi,48,104,113,65,"1,611","1,398",130,112,30/6/2025,"£67,000 p/w",Left,10,1-3,12,9,14,14,12,3-5,1-3,15,13,13-15,12-14,14,13,11,2-4,12-15,13,12,14-17,1-2,15,13,1-3,9,14,11-13,13,14,15,2-4,11,13,10-13,13,4-6,1-3,1-2,15,14,14,14,13,2-4,13,15,0.23,0.75,0.18,16.20,12.16,16.49,9.99,3.03,6.81,0.07,26,-,-,-,1.18,-,-,41,-,-,-,-,-,0.04,-,1.29,LaLiga EA Sports,Technical,Attacking full back,"Outspoken, Level-headed",1,0.17,1.10,7.54,1.07,0,1.13,0.12,14%,3.35,0.46,46.52,0.26,0.09,0.04,-,,- -  - 
Alberto Moreno,D/WB/M (L),32,ESP,"5'7""",141 lbs,Fairly Professional,Como,Not for Sale,7.14,1,0,-,0.25,33%,0.08,0.59,0.16,51.24,89%,1.15,4,71,16%,2.75,75%,8,2.39,39,47,3.68,1.90,51%,0,1.48,53,8.2mi,2,0,1,38,"3,274",9,6,0,86.16,3,134,12,297.0mi,54,69,87,42,"2,087","1,864",133,100,30/6/2026,"£51,000 p/w",Left Only,13,1-2,14,15,13,14,15,1-2,2-5,13,12,6-8,14-16,12,14,13,1-2,4-6,14,12,8-10,1-3,8,8,2-4,7,12,8-11,13,15,14,1-3,14,14,8-10,12,1-3,3-5,1-3,15,12,15,15,14,1-3,14,17,0.14,0.71,0.07,16.58,13.22,12.67,8.80,2.80,7.67,0.14,26,-,-,11%,1.15,-,-,42,-,-,-,-,-,0.02,-,0.59,Serie A TIM,Technical,Attacking full back,Level-headed,0,0.11,1.07,1.95,0.33,0,1.79,0.22,17%,1.95,0.33,57.37,1.02,0.08,0.02,-,,- -  - 
Sergi Roberto,"D/WB (R), DM, M (C)",33,ESP,"5'10""",149 lbs,,Como,£4.5M - £6M,6.97,1,0,-,0.32,25%,0.08,1.93,0.08,55.90,91%,1.04,8,48,10%,2.98,81%,7,2.50,41,34,3.75,1.73,46%,0,1.17,46,7.8mi,6,0,1,39,"3,384",12,3,0,86.77,3,141,5,292.0mi,44,65,94,39,"2,315","2,102",139,112,30/6/2025,"£39,500 p/w",Right,10-15,-,9-14,5-12,8-15,9-16,10-17,-,-,10-16,10-15,-,-,14-19,11-17,7-14,-,-,11-17,-,-,-,2-7,6-11,-,12-17,9-14,-,8-13,13-18,9-16,-,8-13,11-16,-,11-18,-,-,-,15-20,7-13,6-11,12-17,14-19,-,-,16-20,0.16,0.45,0.16,13.75,11.49,12.18,8.40,2.53,7.13,0.11,17,-,-,8%,1.04,-,-,39,-,-,-,-,-,0.05,-,1.93,Serie A TIM,Leader,Experienced full back,Scouting Required,0,0.21,1.09,1.28,0.13,1,2.02,0.19,10%,1.28,0.13,61.57,0.27,0.13,0.05,-,Wnt,- -  - 
Patrick Wimmer,"M (R), AM (RL)",24,AUT,"6'0""",169 lbs,,VfL Wolfsburg,£38M - £60M,7.23,5,0,-,1.75,29%,0.50,3.17,0.21,32.08,86%,1.50,14,79,12%,2.89,81%,1,1.85,19,32,3.85,1.25,32%,0,4.06,36,7.7mi,1,0,15,36,"2,525",49,6,0,70.14,14,108,10,216.2mi,114,35,52,42,"1,046",900,100,81,30/6/2029,"£51,000 p/w",Right,16,1-3,15-19,12-15,9-12,12-15,15-18,1-4,1-4,11-14,8-12,10-14,11-15,10-13,15-18,13-16,1-3,10,12,12-16,13-16,2-6,8,11,1-2,7-11,8-11,7-10,6-10,12-16,10-13,1-4,15,12,8-11,10-13,1-3,2-5,1-4,11-14,12,9-13,14-18,12-15,1-3,11-15,14-17,0.00,0.21,0.06,16.15,5.49,16.32,14.29,3.81,3.03,0.23,6,-,-,10%,1.50,-,-,42,-,-,-,-,-,0.11,-,3.17,Bundesliga,Leader,Winger,Scouting Required,2,0.50,0.68,2.82,0.36,1,2.60,0.04,13%,2.82,0.36,37.28,0.00,0.82,0.11,-,Int,- -  - 
Raúl De Tomás,"AM (C), ST (C)",30,ESP,"5'11""",158 lbs,,Rayo Vallecano,£18.5M - £23M,6.71,7,1,100%,2.85,36%,1.03,6.32,0.05,17.49,81%,1.08,1,13,7%,1.42,73%,0,0.79,5,31,6.44,1.67,26%,0,0.79,50,7.3mi,1,1,9,27,"1,832",58,1,1,67.85,21,131,1,148.9mi,16,34,16,22,441,356,40,29,30/6/2026,"£53,000 p/w",Right,11-14,1-5,5-8,11-14,12-15,11-15,5-9,1-2,2-5,16-19,7-11,8-12,11-14,9-12,10-13,12-15,1-4,13-17,14-17,13-17,10-14,1-2,15,11,1-3,4-7,12-15,5-8,3-7,11-14,10-13,1-4,12-16,12-15,14-17,3-7,1-2,1-2,1-5,8-11,13-16,6-10,7-11,11-14,1-4,12-16,5-8,0.05,0.15,0.11,6.09,1.87,19.26,6.93,1.92,1.28,0.06,3,-,-,12%,1.08,-,-,22,-,-,-,-,-,0.31,-,6.32,LaLiga EA Sports,Technical,Striker,Scouting Required,2,0.05,0.25,0.64,0.05,2,4.77,0.00,8%,0.64,0.05,21.66,0.00,0.84,0.31,-,,- -  - 
Vedat Muriqi,ST (C),31,KOS,"6'4""",202 lbs,,Mallorca,£8.8M - £11M,6.82,13,5,71%,3.39,45%,1.53,13.49,0.03,19.60,83%,0.53,4,15,13%,1.33,78%,0,0.88,11,41,8.70,4.72,54%,0,0.91,76,7.5mi,2,0,21,36,"3,053",115,1,7,84.81,52,295,2,254.0mi,31,160,30,18,800,665,58,45,30/6/2026,"£66,000 p/w",Left,9-12,1,15-18,7-11,13-17,15-19,17-20,4-7,1-5,12-16,13-16,2-5,9-12,14-17,15-19,7-11,1-3,13-17,10-14,10-13,2-6,2-5,17,17,1-4,11-14,12-15,1-5,6-9,15-18,12-16,1-4,8-11,10-13,12-16,10-14,3-6,1-4,1-3,16-19,16-20,4-7,16-19,11-14,1-3,10-13,19-20,0.12,0.12,0.12,7.28,2.45,18.90,7.25,1.59,0.74,0.10,4,-,-,11%,0.53,-,-,18,-,-,-,-,-,0.35,-,11.87,LaLiga EA Sports,Leader,Powerful striker,Scouting Required,0,0.12,0.32,0.44,0.06,3,3.98,0.00,13%,0.44,0.06,23.58,0.00,1.24,0.40,-,Int,- -  - 
Yuri,D/WB (L),35,ALG,"5'11""",171 lbs,,Athletic Bilbao,£3.4M - £5.4M,7.03,1,0,-,0.32,50%,0.16,1.48,0.16,48.85,90%,1.28,3,148,22%,2.78,83%,4,2.75,22,53,5.59,3.93,70%,0,1.09,33,7.9mi,10,1,2,34,"2,819",10,5,0,82.91,5,175,31,248.3mi,34,123,86,40,"1,707","1,530",105,87,30/6/2025,"£43,500 p/w",Left,11-15,1-4,14-18,8-11,10-13,15-18,14-17,1-3,1-3,10-13,11-15,9-13,13-17,11-14,14-17,8-11,1-4,8-11,11-14,7-11,12-15,1-4,13,10-14,1,9-13,12-15,13-16,11-15,16-20,11-14,1-4,9-13,12-16,6-9,15-18,1-3,2-5,1-4,10-13,11-14,15,11-15,12-15,1-3,9-13,12-15,0.54,0.54,0.15,14.40,12.00,15.84,9.26,2.43,5.97,0.09,17,-,-,10%,0.99,-,-,31,-,-,-,-,-,0.05,-,1.48,LaLiga EA Sports,Technical,Veteran full back,Scouting Required,0,0.10,0.70,4.73,0.99,1,1.66,0.13,21%,2.27,0.51,54.50,0.51,0.10,0.05,-,,- -  - 
Idrissa Gueye,"DM, M (C)",35,SEN,"5'9""",145 lbs,,Everton,£275K - £2.8M,6.80,1,0,-,0.18,20%,0.04,0.83,0.11,48.36,90%,0.78,12,12,25%,1.91,76%,4,1.94,20,52,2.76,1.13,41%,0,0.57,18,8.2mi,4,1,2,33,"2,546",5,3,0,77.15,1,78,3,230.6mi,16,32,55,22,"1,525","1,368",71,54,30/6/2025,"£91,000 p/w",Right,10-13,1-2,11-14,13-16,15-18,9-13,14-18,1-3,1-3,10-14,13-17,7-11,6-9,12-15,13-17,9-12,1-4,4-8,13,8,7-11,1-4,9-12,7-11,3-6,9-12,11,6-10,13-17,12-15,9-12,1-4,8-11,11,8-11,12-16,1-3,1-5,1-3,15,12,18,17,11-14,1-4,12,16,0.11,0.64,0.17,12.66,13.26,7.42,10.15,2.55,4.35,0.21,18,-,-,20%,0.78,-,-,22,-,-,-,-,-,0.03,-,0.83,Premier League,Leader,Tireless defensive midfielder,Scouting Required,0,0.42,0.71,0.42,0.11,0,1.63,0.14,25%,0.42,0.11,53.91,0.28,0.00,0.03,-,Int,- -  - 
Aaron Ramsdale,GK,27,ENG,"6'3""",187 lbs,,Southampton,£24M - £37M,6.52,0,0,-,-,-,-,0.00,-,17.93,72%,-,0,-,-,0.03,13%,0,-,-,1,-,-,-,3,-,17,3.9mi,1,0,0,40,"3,564",0,0,0,89.10,-,-,-,154.8mi,0,-,0,0,986,710,8,1,30/6/2027,"£120,000 p/w",Right,7-9,14,11-13,15,12-14,11-13,15-17,15,13-15,10-12,12,3-5,1-3,11-14,15-17,1-2,10,1-3,10-12,10-12,3-5,16,4-7,14-16,16,12-14,2-5,1-2,3-5,10-12,8-10,17,5-8,11-13,2-4,12,10,16,11,11-14,13-15,1-3,13-16,11-14,16,11-14,9-12,0.00,-,0.00,0.00,4.24,7.70,0.00,0.00,0.00,0.00,-,7.74,87%,-,0.00,33,0.20,0,72%,47,81,1.54,0.18,0.00,13%,0.00,Premier League,Distributor,Commanding goalkeeper,Scouting Required,-,-,1.09,-,-,-,-,0.00,-,-,-,24.90,-,-,0.00,4,Int,- -  - 
Jesús Vallejo,D (C),28,ESP,"6'0""",174 lbs,,AS Monaco,£12.5M - £15M,6.99,1,0,-,0.45,22%,0.10,0.86,0.05,57.73,93%,0.25,2,3,66%,1.36,73%,6,1.67,11,15,5.51,3.18,58%,0,0.10,9,6.9mi,1,0,1,22,"1,782",9,1,0,81.00,2,109,2,136.5mi,2,63,33,5,"1,225","1,143",37,27,30/6/2026,"£22,000 p/w",Right,11,1,13-16,9-13,14-18,10-14,12-16,3-6,1-4,13-17,10-13,3-6,7-10,14-17,14,6-10,1-4,6-10,12,5-8,5-9,1-3,12,13,1-4,13-16,8-11,7-11,15,14-17,5-9,1-4,10-13,12,6-10,14,3-6,2-6,1-2,12-15,12,16,13-16,13-16,1-4,9-12,10-13,0.40,0.71,0.10,4.95,21.11,2.73,3.23,1.16,3.64,0.05,14,-,-,11%,0.25,-,-,5,-,-,-,-,-,0.04,-,0.86,Ligue 1 Uber Eats,Intelligent,Center back,Scouting Required,0,0.10,0.56,0.15,0.10,0,2.32,0.30,67%,0.15,0.10,61.87,0.56,0.25,0.04,-,,- -  - 
Juan Cuadrado,D/WB/M/AM (R),37,COL,"5'10""",158 lbs,,Atalanta,£95K - £950K,6.77,0,0,-,0.16,0%,0.00,0.18,-,39.03,86%,1.27,3,46,7%,3.03,70%,0,2.87,8,12,4.78,2.23,47%,0,4.78,9,7.9mi,1,0,0,6 (11),565,1,0,0,33.24,0,30,3,49.5mi,30,14,18,8,284,245,27,19,30/6/2026,"£32,000 p/w",Right,13,1-2,14-18,11-14,10-13,11-14,12-15,1-4,1-3,9-12,13-16,13-16,13-17,10-14,19,12-15,1-4,9-12,15,16-19,9-12,1-5,6,7,1-2,10-14,11-15,9-12,12,10-14,13-16,1-4,11-15,15,6-9,13,1-4,2-5,1-3,7-11,7,14,11-15,15-19,1,11-15,14-18,0.32,0.32,0.18,17.84,9.56,13.86,13.86,3.03,3.35,0.09,2,-,-,-,1.27,-,-,8,-,-,-,-,-,0.03,-,0.18,Serie A TIM,Technical,Attacking full back,Scouting Required,0,0.48,1.27,7.33,0.48,0,2.55,0.00,7%,6.53,0.48,45.24,0.00,0.00,0.03,-,,- -  - 
