Name,Position,Age,Nat,Height,Weight,Personality,Club,Transfer Value,Av Rat,Gls,Pens S,Pen/R,Shot/90,Shot %,ShT/90,xG,Asts/90,Ps C/90,Pas %,K Ps/90,CCC,Cr A,Cr C/A,Tck/90,Tck R,K Tck,Int/90,Clear,Fls,Aer A/90,Hdrs W/90,Hdr %,Gl Mst,Drb/90,FA,Dist/90,Yel,Red,Off,Apps,Mins,Shots,Ast,Pens,Mins/Gm,ShT,Hdrs A,Cr C,Distance,Drb,Hdrs,Itc,K Pas,Pas A,Ps C,Tck A,Tck C,Expires,Salary,Preferred Foot,Acc,Aer,Agg,Agi,Ant,Bal,Bra,Cmd,Com,Cmp,Cnt,Cor,Cro,Dec,Det,Dri,Ecc,Fin,Fir,Fla,Fre,Han,Hea,Jum,Kic,Ldr,Lon,L Th,Mar,Nat,OtB,1v1,Pac,Pas,Pen,Pos,Pun,Ref,TRO,Sta,Str,Tck,Tea,Tec,Thr,Vis,Wor,K Hdrs/90,Blk/90,xG/shot,Sprints/90,Poss Won/90,Poss Lost/90,Pres A/90,Pres C/90,Pr passes/90,xA/90,Blk,xGP,xSv %,Conv %,OP-KP/90,Svt,xGP/90,OP-KP,Sv %,Svh,Svp,All/90,Cln/90,NP-xG/90,Pens Saved Ratio,NP-xG,Division,Style,Media Description,Media Handling,FK Shots,Ch C/90,Clr/90,Crs A/90,Cr C/90,Goals Outside Box,Hdrs L/90,K Tck/90,OP-Cr %,OP-Crs A/90,OP-Crs C/90,Ps A/90,Shts Blckd/90,Shots Outside Box/90,xG/90,Saves/90,Inf,Rec
Bailey Cadamarteri,ST (C),36,ENG,"6'1""",176 lbs,,Philadelphia,£9K - £95K,7.40,2,0,-,11.38,45%,5.17,1.86,-,49.66,60%,-,0,0,-,5.17,45%,0,-,0,7,-,-,-,0,-,4,0.0mi,0,0,0,0 (4),87,11,0,0,21.75,5,0,0,0.0mi,0,-,0,0,80,48,11,5,31/12/2040,"£7,500 p/w",Right Only,7-12,-,10-15,-,-,-,-,-,-,9-15,-,-,7-12,13-18,10-16,2-9,-,12-19,10-16,8-13,-,-,7-12,10-15,-,-,12-17,-,-,-,8-15,-,4-9,10-15,10-17,-,-,-,-,12-17,7-13,-,7-12,12-17,-,8-13,13-18,0.00,-,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.74,0,-,-,18%,0.00,-,-,0,-,-,-,-,-,1.92,-,1.86,Major League Soccer,Intelligent,Forward,Scouting Required,0,-,0.00,0.00,0.00,0,-,0.00,-,0.00,0.00,82.76,0.00,0.00,1.92,-,,- -  - 
Harvey Turner,M/AM (R),31,USA,"6'3""",180 lbs,,St. Louis CITY,Unknown,7.38,0,0,-,2.61,29%,0.77,2.01,0.15,17.05,69%,-,0,0,-,1.54,71%,0,-,0,6,-,-,-,0,-,17,0.0mi,0,0,0,6 (2),586,17,1,0,73.25,5,0,0,0.0mi,0,-,0,0,160,111,14,10,31/12/2041,"£5,750 p/w",Unknown,10-18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6-12,-,10-16,12-17,-,-,-,5-11,8-16,-,-,4-9,-,-,-,7-13,-,10-16,11-19,-,-,-,-,-,-,9-14,-,-,9-14,-,-,9-14,0.00,-,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0,-,-,-,0.00,-,-,0,-,-,-,-,-,0.31,-,2.01,Major League Soccer,Physical,Winger,Scouting Required,0,-,0.00,0.00,0.00,0,-,0.00,-,0.00,0.00,24.57,0.00,0.00,0.31,-,Inj,- -  - 
Gilles da Silva,D/WB (L),30,LUX,"6'0""",165 lbs,,Bodø/Glimt,£1.7M,7.37,0,0,-,2.62,17%,0.44,0.96,0.87,42.38,92%,3.06,3,13,14%,2.62,100%,0,1.75,2,2,6.99,2.62,38%,0,6.12,5,7.8mi,0,0,2,3,206,6,2,0,68.67,1,16,4,18.0mi,14,6,4,7,105,97,6,6,31/12/2042,"£11,250 p/w",Unknown,10-16,-,-,-,12-18,-,-,-,-,-,-,-,-,13-18,9-17,-,-,-,5-13,-,-,-,2-7,10-18,-,-,-,-,9-17,-,-,-,13-18,7-13,-,8-14,-,-,-,-,4-12,4-9,-,-,-,-,-,0.00,1.31,0.16,12.23,8.74,10.92,10.05,2.18,6.55,0.31,3,-,-,-,1.31,-,-,3,-,-,-,-,-,0.42,-,0.96,Eliteserien,Physical,Fullback,Scouting Required,0,1.31,0.87,5.68,1.75,0,4.37,0.00,31%,3.06,0.44,45.87,0.00,0.44,0.42,-,Lst,- -  - 
Hugo van Lopik,D/WB (R),26,NED,"6'2""",174 lbs,Driven,Bodø/Glimt,£180K - £1.8M,7.37,1,0,-,1.10,33%,0.37,0.55,0.18,51.17,89%,1.66,2,26,23%,2.39,87%,0,4.23,6,2,5.15,4.05,79%,0,2.02,7,8.1mi,1,0,0,6,489,6,1,0,81.50,2,28,6,44.1mi,11,22,23,9,311,278,15,13,31/12/2042,"£14,250 p/w",Right,13,2,9,15,12,17,15,2,1,9,14,7,11,12,20,9,1,5,8,11,3,3,8,15,2,6,7,7,12,18,8,3,15,12,6,13,2,2,2,16,10,13,12,12,3,8,13,0.37,0.55,0.09,16.20,14.91,11.78,7.73,2.76,4.60,0.15,3,-,-,17%,1.66,-,-,9,-,-,-,-,-,0.10,-,0.55,Eliteserien,Physical,Fullback,Evasive,0,0.37,1.10,4.79,1.10,0,1.10,0.00,23%,4.79,1.10,57.24,0.00,0.37,0.10,-,Bid,- -  - 
Gianmarco D'Amico,ST (C),31,ITA,"6'0""",180 lbs,,Lillestrøm,£325K,7.30,0,0,-,4.20,29%,1.20,0.79,-,31.80,87%,1.80,2,5,-,0.60,100%,0,0.60,0,1,10.20,6.00,59%,0,1.80,4,6.7mi,0,0,1,2 (1),150,7,0,0,50.00,2,17,0,11.2mi,3,10,1,3,61,53,1,1,31/12/2040,"£9,500 p/w",Unknown,4-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13-20,-,8-14,9-14,-,-,-,10-16,11-16,-,-,7-13,-,-,-,11-19,-,10-16,5-13,-,-,-,-,-,-,13-18,-,-,12-18,-,-,6-12,0.00,-,0.11,4.80,4.80,7.20,1.20,0.00,1.20,0.34,0,-,-,-,1.80,-,-,3,-,-,-,-,-,0.47,-,0.79,Eliteserien,Technical,Forward,Scouting Required,0,1.20,0.00,3.00,0.00,0,4.20,0.00,0%,3.00,0.00,36.60,0.00,0.60,0.47,-,Lst,- -  - 
William Forsberg,GK,25,SWE,"6'2""",178 lbs,,Malmö FF,£9K,7.30,0,0,-,-,-,-,0.00,-,7.43,54%,-,0,-,-,0.14,100%,0,0.43,-,0,-,-,-,0,-,0,2.8mi,0,0,0,7 (1),630,0,0,0,78.75,-,-,-,19.6mi,0,-,3,0,97,52,1,1,30/11/2041,"£1,200 p/w",Unknown,-,9-17,-,12-17,-,-,-,8-16,-,-,12-18,-,-,-,-,-,7-13,-,-,-,-,7-13,-,-,7-12,-,-,-,-,-,-,11-17,-,-,-,9-14,11-19,12-17,4-12,-,-,-,-,-,5-11,-,-,0.00,-,0.00,0.29,4.71,12.57,0.00,0.00,0.71,0.00,-,4.01,77%,-,0.00,9,0.57,0,95%,4,7,0.71,0.57,0.00,100%,0.00,Allsvenskan,Shot Stopper,Goalkeeper,Scouting Required,-,-,11.86,-,-,-,-,0.00,-,-,-,13.86,-,-,0.00,2,Wnt,- -  - 
Sebastian Svensson,"DM, M (C)",23,SWE,"5'5""",141 lbs,,IFK Göteborg,Unknown,7.30,0,0,-,-,50%,-,0.07,-,-,92%,-,0,0,-,-,67%,0,-,0,0,-,-,0%,0,-,0,-,0,0,0,0 (2),36,2,1,0,18.00,1,1,0,3.9mi,0,0,1,0,26,24,3,2,30/11/2041,£625 p/w,Unknown,-,-,12-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10-16,5-10,-,-,1-5,2-7,-,-,4-10,-,-,-,-,-,-,12-17,-,-,-,-,-,14-20,7-13,2-8,5-11,-,-,7-13,13-19,-,-,0.04,-,-,-,-,-,-,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0.07,Allsvenskan,Physical,Midfielder,Scouting Required,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,,- -  - 
Nelson Jiménez,GK,28,ESP,"6'2""",185 lbs,,Lillestrøm,£60K,7.30,0,0,-,-,-,-,0.00,-,6.50,57%,0.50,0,-,-,-,-,0,1.50,-,0,-,-,-,0,-,0,2.3mi,0,0,0,2,180,0,0,0,90.00,-,-,-,4.6mi,0,-,3,1,23,13,0,-,31/12/2040,"£1,300 p/w",Unknown,-,13-20,-,9-14,-,-,-,8-14,-,-,12-18,-,-,-,-,-,6-12,-,-,-,-,6-11,-,-,12-17,-,-,-,-,-,-,12-18,-,-,-,7-15,1-7,10-18,5-13,-,-,-,-,-,11-17,-,-,0.00,-,0.00,0.50,5.00,7.00,0.00,0.00,0.50,0.04,-,-0.52,96%,-,0.50,0,-0.26,1,80%,3,1,0.50,0.50,0.00,-,0.00,Eliteserien,Shot Stopper,Goalkeeper,Scouting Required,-,-,6.00,-,-,-,-,0.00,-,-,-,11.50,-,-,0.00,2,Wnt,- -  - 
Ricardo Duarte,"M (L), AM (RLC)",31,BRA,"5'10""",163 lbs,,Cuiabá,£400K,7.23,1,0,-,2.89,24%,0.68,1.63,0.85,25.47,81%,1.87,2,12,16%,3.40,100%,0,1.02,1,7,4.25,0.68,16%,0,1.36,7,7.8mi,0,0,3,3 (14),530,17,5,0,31.18,4,25,2,45.9mi,8,4,6,11,186,150,20,20,31/12/2041,"£3,900 p/w",Left,16,1-3,7-10,14-18,9-13,12-15,3-6,1-3,2-6,8-12,4-7,3-6,10-13,4-8,11-15,11-15,1-4,3-6,8,9-12,2-5,1-4,4,10,1-4,13-16,5-9,2-6,2-5,14-17,11-15,1,14,9-12,1-5,4-7,1-2,1-3,1-3,11-15,11-15,3-6,7-10,10-14,1-5,8-11,10-14,0.00,-,0.10,16.47,4.75,14.26,12.57,3.74,2.72,0.41,0,-,-,6%,1.87,-,-,11,-,-,-,-,-,0.28,-,1.63,Campeonato Brasileiro Série B,Physical,Winger,Scouting Required,0,0.34,0.17,2.04,0.34,1,3.57,0.00,17%,2.04,0.34,31.58,0.00,0.51,0.28,-,Wnt,- -  - 
Rafael Oller Pereira,"AM (L), ST (C)",21,BRA,"5'11""",156 lbs,,Cuiabá,£65K - £650K,7.21,5,0,-,3.31,33%,1.10,0.95,-,27.73,86%,0.73,1,13,7%,2.39,93%,0,1.84,5,2,3.67,0.73,20%,0,2.57,7,7.8mi,0,0,1,5 (7),490,18,0,0,40.83,6,20,1,42.7mi,14,4,10,4,175,151,14,13,31/12/2042,£750 p/w,Left,13-16,1-3,8-11,13-17,7-11,13-17,10-14,2-5,1-3,5-9,1-4,3-6,11-14,10-13,13-17,7-11,1-2,10-14,10-14,13-16,1-5,1-3,9,5-8,1-4,9-12,6-9,1-3,1-2,13-16,7-11,1-3,12-15,9-12,1-4,1-4,2-5,1-5,1-2,10-13,6-10,1,9-12,14-17,1-5,2-5,9-12,0.00,0.55,0.05,13.22,2.57,16.16,11.20,3.12,2.20,0.15,3,-,-,28%,0.73,-,-,4,-,-,-,-,-,0.17,-,0.95,Campeonato Brasileiro Série B,Physical,Winger,Scouting Required,0,0.18,0.92,2.39,0.18,0,2.94,0.00,8%,2.39,0.18,32.14,0.00,1.47,0.17,-,,- -  - 
Iacopo Zappasodi,M (C),31,ITA,"5'11""",178 lbs,,IF Elfsborg,£75K,7.20,0,0,-,-,0%,-,0.02,-,-,89%,-,0,0,-,-,100%,0,-,0,2,-,-,-,0,-,1,-,0,0,0,1,61,1,0,0,61.00,0,0,0,4.9mi,1,-,4,2,64,57,1,1,30/11/2040,"£4,800 p/w",Unknown,-,-,9-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8-16,3-9,-,-,6-11,6-12,-,-,4-12,-,-,-,-,-,-,12-18,-,-,-,-,-,6-14,12-20,10-15,10-15,-,-,13-18,7-15,-,-,0.02,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0.02,Allsvenskan,Physical,Midfielder,Scouting Required,1,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,Wnt,- -  - 
Ricardo Reis Santos,AM (RLC),22,BRA,"5'4""",132 lbs,,Vila Nova,£70K - £210K,7.20,0,0,0%,2.38,20%,0.48,1.58,0.48,26.67,85%,1.90,0,23,-,0.48,33%,0,0.95,1,1,6.67,1.90,29%,0,1.90,4,8.6mi,0,0,1,1 (7),189,5,1,1,23.62,1,14,0,18.1mi,4,4,2,4,66,56,3,1,31/12/2040,"£1,100 p/w",Left,13-17,1-5,9-13,12-15,6-9,15-18,7-10,1-2,1-4,9-12,1-5,4-8,12-16,7-10,14-17,11-14,1-2,11-14,7-10,10-14,1-4,1-4,5,1-3,1-3,3-7,5-8,1-3,1-2,13-17,9-12,1-3,10-14,8-12,1-4,3-6,1-4,3-6,1-4,11-14,8-11,1-5,12-16,11-14,1-4,4-8,11-14,0.00,-,0.32,13.81,1.90,15.24,12.86,1.43,1.90,0.01,0,-,-,-,1.90,-,-,4,-,-,-,-,-,0.37,-,0.77,Campeonato Brasileiro Série B,Physical,Winger,Scouting Required,0,-,0.48,10.95,0.00,0,4.76,0.00,0%,4.76,0.00,31.43,0.00,0.48,0.75,-,Wnt,- -  - 
Vebjørn Onarheim,ST (C),30,NOR,"5'8""",152 lbs,,Fredrikstad,Unknown,7.20,0,0,-,-,-,-,0.00,-,-,80%,-,1,1,-,-,100%,0,-,0,0,-,-,100%,0,-,2,-,0,0,0,0 (2),18,0,1,0,9.00,-,1,1,1.9mi,0,1,0,2,5,4,2,2,31/12/2042,"£6,250 p/w",Unknown,9-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10-15,-,9-14,11-17,-,-,-,5-13,2-8,-,-,9-17,-,-,-,10-15,-,6-14,8-14,-,-,-,-,-,-,5-11,-,-,13-20,-,-,10-18,-,-,0.00,-,-,-,-,-,-,-,0,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0.00,Eliteserien,Technical,Forward,Scouting Required,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,,- -  - 
