Name,Position,Age,Nat,Height,Weight,Personality,Club,Transfer Value,Av Rat,Gls,Pens S,Pen/R,Shot/90,Shot %,ShT/90,xG,Asts/90,Ps C/90,Pas %,K Ps/90,CCC,Cr A,Cr C/A,Tck/90,Tck R,K Tck,Int/90,Clear,Fls,Aer A/90,Hdrs W/90,Hdr %,Gl Mst,Drb/90,FA,Dist/90,Yel,Red,Off,Apps,Mins,Shots,Ast,Pens,Mins/Gm,ShT,Hdrs A,Cr C,Distance,Drb,Hdrs,Itc,K Pas,Pas A,Ps C,Tck A,Tck C,Expires,Salary,Preferred Foot,Acc,Aer,Agg,Agi,Ant,Bal,Bra,Cmd,Com,Cmp,Cnt,Cor,Cro,Dec,Det,Dri,Ecc,Fin,Fir,Fla,Fre,Han,Hea,Jum,Kic,Ldr,Lon,L Th,Mar,Nat,OtB,1v1,Pac,Pas,Pen,Pos,Pun,Ref,TRO,Sta,Str,Tck,Tea,Tec,Thr,Vis,Wor,K Hdrs/90,Blk/90,xG/shot,Sprints/90,Poss Won/90,Poss Lost/90,Pres A/90,Pres C/90,Pr passes/90,xA/90,Blk,xGP,xSv %,Conv %,OP-KP/90,Svt,xGP/90,OP-KP,Sv %,Svh,Svp,All/90,Cln/90,NP-xG/90,Pens Saved Ratio,NP-xG,Division,Style,Media Description,Media Handling,FK Shots,Ch C/90,Clr/90,Crs A/90,Cr C/90,Goals Outside Box,Hdrs L/90,K Tck/90,OP-Cr %,OP-Crs A/90,OP-Crs C/90,Ps A/90,Shts Blckd/90,Shots Outside Box/90,xG/90,Saves/90,Position Selected
Pål Stian Thun,"WB (R), DM, M (R)",20,NOR,"5'10""",165 lbs,Fairly Professional,Libertas,£2.5M - £3.5M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2044,"£5,250 p/w",Right,15,2,10,12,10,15,11,3,1,10,13,5,10,13,13,9,3,7,12,10,1,2,7,10,2,11,9,5,8,15,9,3,14,11,3,10,1,1,2,14,13,13,9,15,2,9,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Campionato Sammarinese,Physical,Attacking full back,Level-headed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S9
Damián Olivera,D (RC),20,URU,"6'0""",169 lbs,Fairly Professional,Libertas,£500K - £1.2M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2045,"£1,200 p/w",Right,13,1,9,13,13,16,17,2,4,8,12,4,8,13,13,6,1,6,9,4,3,1,10,12,3,16,5,5,12,14,7,1,13,10,3,14,2,1,2,14,11,15,13,13,1,8,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Campionato Sammarinese,Physical,Center back,Media-friendly,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DCR
Joe Bankole,"WB (R), DM, M (C)",20,NGA,"5'9""",158 lbs,Realist,Libertas,£2M - £4.8M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2045,"£3,000 p/w",Left,12,3,11,16,12,11,8,1,3,12,13,4,6,13,17,7,1,7,12,9,4,2,6,7,3,14,8,2,11,13,11,2,13,14,8,15,3,1,1,16,12,14,11,15,2,9,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Campionato Sammarinese,Physical,Defensive midfielder,"Outspoken, Volatile, Confrontational",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DMCL
Dramane Kamagaté,GK,20,CIV,"6'4""",189 lbs,Balanced,Libertas,£5.4M - £6M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2047,"£4,800 p/w",Right,10,15,6,12,12,17,10,14,14,11,13,4,3,14,11,3,7,2,7,3,3,15,1,14,14,12,1,1,3,6,1,14,11,11,3,16,14,13,11,9,11,3,10,9,13,9,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Campionato Sammarinese,Distributor,Goalkeeper,Level-headed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GK
Ivo Calderon,ST (C),22,MEX,"5'9""",152 lbs,Resolute,Libertas,£14.5M - £17M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2047,"£68,000 p/w",Left,16,3,10,17,16,17,9,2,3,15,9,7,7,14,16,16,3,18,16,15,5,3,12,8,2,12,9,1,5,17,14,2,17,11,13,9,2,3,1,13,12,6,10,15,3,12,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Campionato Sammarinese,Technical,Striker,Volatile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,STCL
Damián Vallina,"D (RL), WB/AM (L)",22,ESP,"5'10""",158 lbs,Fairly Professional,Libertas,£2.9M - £6.2M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2045,"£13,250 p/w",Left,14,1,17,16,10,11,16,1,2,11,12,5,12,13,14,11,1,6,10,11,3,4,8,9,3,14,7,9,11,17,13,3,14,11,6,10,1,1,1,17,12,11,12,11,3,11,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Campionato Sammarinese,Leader,Fullback,Level-headed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S2
Tomislav Đukanović,GK,22,CRO,"6'3""",187 lbs,Driven,Libertas,£4K - £6K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2044,£575 p/w,Right,9,14,12,8,9,16,8,9,9,8,11,2,3,8,19,3,4,3,8,3,3,11,1,15,8,10,2,1,1,13,3,14,6,12,2,12,12,13,11,10,11,2,8,6,13,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Campionato Sammarinese,Assertive,Goalkeeper,"Media-friendly, Reserved",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gustavo Pio,"DM, M (C)",23,POR,"5'10""",165 lbs,Balanced,Libertas,£18K - £45K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2044,"£3,100 p/w",Right,12,1,5,8,14,15,9,3,1,11,8,3,4,13,13,4,3,4,12,7,3,1,5,9,1,6,6,3,6,9,7,3,9,12,3,9,3,2,1,8,11,9,10,12,3,13,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Campionato Sammarinese,Intelligent,Defensive midfielder,Media-friendly,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Didier Boyer,D (RLC),23,FRA,"5'10""",163 lbs,Fickle,Libertas,£0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2044,£850 p/w,Left,15,1,5,12,10,13,15,3,1,5,6,2,7,9,15,6,2,3,7,9,1,2,6,3,1,8,3,2,7,12,4,2,13,6,1,7,3,1,2,14,11,10,11,3,1,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Campionato Sammarinese,Physical,Fullback,Media-friendly,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Will Campbell,D/WB (L),26,SCO,"5'7""",145 lbs,Spirited,Libertas,£16.5M - £19.5M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2046,"£37,500 p/w",Left,15,2,5,16,12,17,12,3,1,11,13,6,14,14,12,11,3,4,13,11,3,3,8,7,2,15,7,8,11,18,12,1,13,10,3,13,1,3,1,17,12,12,15,13,2,11,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Campionato Sammarinese,Physical,Fullback,Evasive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DL
Ko Chang-Won,M/AM (C),26,KOR,"5'10""",163 lbs,Fairly Professional,Libertas,£900K - £1.9M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2045,"£10,750 p/w",Right Only,13,1,12,12,12,14,8,3,2,12,7,11,8,14,14,11,3,11,16,17,17,2,10,4,3,6,16,1,8,12,13,4,15,14,5,10,3,2,3,13,12,5,17,17,3,13,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Campionato Sammarinese,Creative,Attacking midfielder,Level-headed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ruari Croly,ST (C),27,IRL,"6'1""",178 lbs,Fairly Professional,Libertas,£2.7M - £3.6M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2045,"£16,500 p/w",Right,15,2,12,15,14,16,10,3,1,19,7,2,5,10,8,13,2,18,11,15,2,2,9,13,3,11,8,1,2,13,11,1,16,9,6,2,2,2,2,14,11,1,7,16,3,7,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Campionato Sammarinese,Technical,Striker,Volatile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S7
Narcís Pujol,"D (C), WB (R)",28,ESP,"6'1""",171 lbs,Fairly Professional,Libertas,£13M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2045,"£33,500 p/w",Left,14,3,16,15,15,17,11,4,2,13,14,5,10,13,14,9,3,2,10,10,2,2,12,15,2,9,4,5,12,14,10,2,15,11,4,13,1,2,2,14,13,13,12,13,3,10,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Campionato Sammarinese,Physical,Center back,Media-friendly,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DCL
Luciano,D/WB/AM (L),28,BRA,"5'5""",134 lbs,Resolute,Libertas,£900K - £1.4M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2045,"£6,250 p/w",Left Only,15,1,8,15,15,13,10,3,2,9,16,4,12,13,17,10,1,6,12,5,3,2,9,2,2,6,4,5,11,13,9,2,15,10,5,14,2,3,3,16,9,14,12,10,1,10,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Campionato Sammarinese,Intelligent,Late developer,Outspoken,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S11
Matteo Consales,"D (RL), WB/M (L)",29,ITA,"5'6""",147 lbs,Driven,Libertas,£2.3M - £3.6M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2045,"£14,750 p/w",Left,14,2,8,14,12,16,19,4,2,11,13,5,16,13,18,8,3,6,11,10,4,1,7,8,2,5,6,4,12,16,8,3,13,10,2,11,1,2,2,15,9,11,15,12,2,9,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Campionato Sammarinese,Physical,Fullback,Level-headed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S8
Julien Jarry,M (C),29,FRA,"5'9""",158 lbs,Resolute,Libertas,£9.6M - £10.5M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2045,"£73,000 p/w",Right,11,3,13,13,14,14,9,4,2,15,8,10,5,15,15,9,3,7,15,14,8,3,9,3,3,6,13,3,11,12,13,4,14,16,6,10,1,3,3,14,13,10,12,16,2,16,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Campionato Sammarinese,Physical,Late developer,Level-headed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S6
Danny Quin,"AM (RC), ST (C)",29,ENG,"5'8""",149 lbs,Model Citizen,Libertas,£13M - £16.5M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2045,"£73,000 p/w",Right,15,2,14,16,13,15,9,3,2,14,9,9,11,12,16,12,1,16,15,17,14,3,8,3,3,9,9,5,5,13,13,2,15,10,13,7,2,3,4,13,10,3,9,12,2,12,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Campionato Sammarinese,Physical,Striker,"Evasive, Unflappable",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,STCR
Ibrahim Suleiman,"M/AM (C), ST (C)",29,NOR,"5'7""",145 lbs,Resolute,Libertas,£3.7M - £7.8M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2045,"£40,500 p/w",Right,14,1,14,15,16,16,11,3,1,12,14,7,4,13,15,9,3,15,12,18,6,2,9,6,2,9,8,4,12,16,13,1,15,11,8,10,1,2,3,14,13,11,11,11,1,12,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Campionato Sammarinese,Physical,Midfielder,Level-headed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S13
Sebastián Díaz,GK,30,MEX,"6'0""",176 lbs,Fickle,Libertas,£1M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2044,"£10,750 p/w",Right Only,7,14,8,13,15,13,13,16,14,11,14,3,1,15,13,1,9,2,6,2,3,13,1,14,13,16,1,1,2,10,1,14,9,14,3,14,8,12,12,11,11,1,5,8,12,15,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Campionato Sammarinese,Assertive,Nomadic goalkeeper,Media-friendly,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Herminio Paredes,"DM, M (C)",30,PAR,"5'6""",147 lbs,Determined,Libertas,£3.8M - £5M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2044,"£24,500 p/w",Right,13,1,13,17,15,16,12,3,3,10,15,4,4,14,20,8,3,4,11,6,4,3,6,4,1,9,5,3,14,14,10,1,14,8,2,15,4,1,3,17,14,14,12,13,1,15,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Campionato Sammarinese,Physical,Defensive midfielder,Level-headed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Fatmir Hasani,D/WB (L),31,ALB,"5'7""",149 lbs,Resolute,Libertas,£9K - £22K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2044,"£2,100 p/w",Right,14,3,14,15,9,14,7,4,3,8,9,3,6,12,15,7,1,3,10,12,1,1,6,3,1,12,5,11,8,12,7,2,15,7,3,9,3,2,1,14,11,10,12,13,1,6,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Campionato Sammarinese,Physical,Attacking full back,"Media-friendly, Reserved",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Alberto Barrett,"D (C), DM",31,JAM,"6'2""",176 lbs,Resolute,Libertas,£1.7M - £3.5M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2045,"£5,750 p/w",Left,11,1,10,12,13,12,16,3,1,13,17,5,4,12,15,6,1,6,12,9,9,3,11,16,1,12,12,2,15,17,6,2,13,12,7,12,4,1,1,13,11,14,12,15,3,13,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Campionato Sammarinese,Physical,Defensive midfielder,Level-headed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Andy Wilkinson,"M (C), ST (C)",32,WAL,"5'9""",158 lbs,Resolute,Libertas,£500K - £1.1M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2045,"£9,000 p/w",Left,15,2,9,12,13,11,12,1,1,19,5,9,8,10,17,10,4,17,15,16,14,2,9,2,1,7,5,5,6,14,16,2,13,8,8,6,2,2,1,14,12,1,15,17,3,5,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Campionato Sammarinese,Intelligent,Experienced striker,Level-headed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
