Name,Position,Age,Nat,Height,Weight,Personality,Club,Transfer Value,Av Rat,Gls,xG,Pens S,Pen/R,Shot/90,Shot %,ShT/90,Asts/90,Ps C/90,Pas %,K Ps/90,CCC,Cr A,Cr C/A,Tck/90,Tck R,K Tck,Int/90,Clear,Fls,Aer A/90,Hdrs W/90,Hdr %,Gl Mst,Drb/90,FA,Dist/90,Yel,Red,Off,Apps,Mins,Shots,Ast,Pens,Mins/Gm,ShT,Hdrs A,Cr C,Distance,Drb,Hdrs,Itc,K Pas,Pas A,Ps C,Tck A,Tck C,Expires,Salary,Preferred Foot,Acc,Aer,Agg,Agi,Ant,Bal,Bra,Cmd,Com,Cmp,Cnt,Cor,Cro,Dec,Det,Dri,Ecc,Fin,Fir,Fla,Fre,Han,Hea,Jum,Kic,Ldr,Lon,L Th,Mar,Nat,OtB,1v1,Pac,Pas,Pen,Pos,Pun,Ref,TRO,Sta,Str,Tck,Tea,Tec,Thr,Vis,Wor,K Hdrs/90,Blk/90,xG/shot,Sprints/90,Poss Won/90,Poss Lost/90,Pres A/90,Pres C/90,Pr passes/90,xA/90,Blk,xGP,xSv %,Conv %,OP-KP/90,Svt,xGP/90,OP-KP,Sv %,Svh,Svp,All/90,Cln/90,NP-xG/90,Pens Saved Ratio,NP-xG,Division,Style,Media Description,Media Handling,FK Shots,Ch C/90,Clr/90,Crs A/90,Cr C/90,Goals Outside Box,Hdrs L/90,K Tck/90,OP-Cr %,OP-Crs A/90,OP-Crs C/90,Ps A/90,Shts Blckd/90,Shots Outside Box/90,xG/90,Saves/90,Inf,Rec
Endrick,"AM (RLC), ST (C)",25,BRA,"5'9""",152 lbs,Resolute,Manchester United,£235M - £256M,7.15,20,15.58,0,-,2.96,54%,1.61,0.35,25.73,84%,1.86,19,123,19%,1.67,78%,1,1.51,11,59,3.87,0.35,9%,0,2.46,52,8.3mi,3,0,34,29 (26),"2,858",94,11,0,51.96,51,123,20,262.8mi,78,11,48,59,972,817,68,53,30/6/2035,"£425,000 p/w",Left,16,1,12,16,17,15,13,1,3,17,13,10,13,14,15,15,3,16,15,19,14,2,12,5,1,11,13,4,9,19,15,3,17,11,10,10,3,4,1,14,16,7,12,16,3,16,13,0.00,0.16,0.17,8.91,4.82,11.37,10.52,3.02,2.08,0.23,5,-,-,21%,1.48,-,-,47,-,-,-,-,-,0.49,-,15.58,Premier League,Physical,Elite striker,Level-headed,29,0.60,0.35,3.87,0.63,1,3.53,0.03,16%,1.98,0.38,30.61,0.06,1.64,0.49,-,,- -  - 
Owen Goodman,GK,28,CAN,"6'5""",194 lbs,,Aberdeen,£6M - £7.6M,6.88,0,0.00,0,-,-,-,-,0.04,11.91,59%,0.02,1,-,-,0.00,0%,0,0.20,-,0,-,-,-,3,-,1,3.8mi,0,0,0,55,"5,040",0,2,0,91.64,-,-,-,212.6mi,0,-,11,1,"1,122",667,9,0,31/5/2035,"£12,000 p/w",Left Only,8-12,15-19,13-17,12-15,13-16,11-14,13-16,13,14-17,13-16,10-14,1-5,1-4,10-13,11-14,1-3,11-15,3-6,12-15,11-15,3-6,12,5-9,13-17,14,10-14,1-3,2-5,1-2,13-17,1-2,12-16,8-12,12-16,1-4,13-16,11-14,13-16,6-10,9-12,11-14,1-3,9-13,10-13,14,13-17,10-13,0.00,-,0.00,0.09,5.30,10.61,0.00,0.00,1.32,0.01,-,1.05,82%,-,0.00,39,0.02,0,78%,78,69,1.32,0.29,0.00,0%,0.00,cinch Premiership,Distributor,Goalkeeper,Scouting Required,-,0.02,7.02,-,-,-,-,0.00,-,-,-,20.04,-,-,0.00,3,Int,- -  - 
Ronald Araujo,"D (RC), WB (R), DM",33,URU,"6'2""",194 lbs,Professional,FC Barcelona,£45M - £67M,7.11,9,5.96,4,100%,0.88,46%,0.40,0.02,73.84,95%,0.15,3,7,14%,1.19,78%,12,2.05,31,37,7.77,5.63,72%,3,0.11,11,7.1mi,7,0,2,52 (3),"4,700",46,1,4,85.45,21,406,1,373.1mi,6,294,107,8,"4,073","3,856",79,62,30/6/2032,"£275,000 p/w",Right,13,2,16,13,16,12,18,3,3,15,17,5,9,14,18,9,1,11,14,9,6,4,16,15,2,16,10,9,18,15,6,3,14,12,12,15,2,3,2,14,14,17,15,13,1,10,16,0.57,0.40,0.13,4.86,12.68,4.69,3.91,1.30,5.57,0.03,21,-,-,20%,0.15,-,-,8,-,-,-,-,-,0.05,-,2.79,LaLiga EA Sports,Leader,Elite center-back,Level-headed,0,0.06,0.59,0.13,0.02,0,2.14,0.23,14%,0.13,0.02,77.99,0.29,0.13,0.11,-,Wnt,- -  - 
Christopher Wooh,D (LC),30,CMR,"6'3""",194 lbs,,RSC Anderlecht,£18.5M - £29M,6.93,5,3.99,0,-,0.75,59%,0.44,0.02,50.87,93%,0.33,2,17,18%,2.34,79%,7,2.41,46,33,6.50,4.18,64%,0,0.46,2,7.2mi,5,0,0,46 (8),"4,071",34,1,0,75.39,20,294,3,323.7mi,21,189,109,15,"2,484","2,301",135,106,30/6/2034,"£43,000 p/w",Right,10-13,1-4,12-15,15-18,14-17,11-15,10-14,2-5,1-4,10-14,15-19,6-10,2-5,12-15,4-8,12-15,1-5,5-9,9-13,7-11,5-9,1-4,14,15,1-4,7-10,7-10,6-10,14,11-14,11-14,1-4,12-15,9-12,7-10,12-16,1-3,1-5,1-4,11-14,12-16,13,11-14,11-14,1-2,9-12,12-15,0.64,0.44,0.12,6.41,11.63,5.11,3.10,1.17,5.64,0.05,20,-,-,15%,0.33,-,-,15,-,-,-,-,-,0.09,-,3.99,Jupiler Pro League,Intelligent,Center back,Scouting Required,0,0.04,1.02,0.38,0.07,0,2.32,0.15,18%,0.35,0.07,54.92,0.18,0.09,0.09,-,,- -  - 
Filip Jörgensen,GK,30,DEN,"6'2""",167 lbs,Fairly Ambitious,Chelsea,£64M - £96M,6.87,0,0.00,0,-,-,-,-,-,29.48,93%,-,0,-,-,0.00,0%,0,0.04,-,0,-,-,-,2,-,0,4.0mi,0,0,0,54,"4,860",0,0,0,90.00,-,-,-,217.4mi,0,-,2,0,"1,718","1,592",3,0,30/6/2034,"£205,000 p/w",Right,12,16,6,16,13,12,13,16,13,12,12,6,1,12,12,3,6,1,14,3,3,15,8,16,14,11,2,1,3,16,2,17,13,14,1,16,13,16,14,15,16,3,13,13,16,13,12,0.02,-,0.00,0.07,6.11,2.85,0.00,0.00,0.33,0.01,-,-12.79,84%,-,0.00,13,-0.24,0,72%,77,60,1.31,0.31,0.00,0%,0.00,Premier League,Distributor,World class goalkeeper,Level-headed,-,-,1.37,-,-,-,-,0.00,-,-,-,31.81,-,-,0.00,2,,- -  - 
Robert Renan,D (C),28,BRA,"6'1""",169 lbs,,Manchester United,£39M - £48M,6.96,2,0.55,0,-,0.26,56%,0.14,0.03,69.08,95%,0.34,4,5,40%,1.17,77%,7,2.45,18,12,5.22,3.34,64%,2,0.17,4,7.1mi,4,0,0,31 (23),"3,154",9,1,0,58.41,5,183,2,249.0mi,6,117,86,12,"2,540","2,421",53,41,30/6/2032,"£145,000 p/w",Left,12-15,2-6,9-12,14-17,15-18,12-16,10-14,1,3-6,14-17,13-17,7-11,6-9,11-14,15,12-15,1-5,6-10,13,8-12,7-11,1-4,13,13,1-4,14-17,6-9,11-14,15,8-11,10-13,1-4,13-17,13-16,10-13,15,1-3,1-2,1-4,11-14,14-17,14,11-15,12-15,2-5,14-18,11-14,0.43,0.37,0.06,4.88,11.70,3.68,2.85,1.06,6.85,0.03,13,-,-,22%,0.34,-,-,12,-,-,-,-,-,0.02,-,0.55,Premier League,Technical,Center back,Scouting Required,0,0.11,0.51,0.14,0.06,0,1.88,0.20,40%,0.14,0.06,72.48,0.26,0.09,0.02,-,Wnt,- -  - 
Steve Hubbard,AM (L),22,ENG,"6'0""",165 lbs,,Chelsea,£118M - £145M,7.08,14,10.99,0,-,2.27,41%,0.94,0.42,27.37,81%,2.81,30,381,15%,2.86,83%,0,1.43,30,61,4.61,1.22,26%,1,3.30,96,8.5mi,4,0,25,51 (3),"3,844",97,18,0,71.19,40,197,73,364.8mi,141,52,61,120,"1,436","1,169",147,122,30/6/2035,"£87,000 p/w",Right,16,2-5,12-15,17-20,13-17,14-17,9-12,1-3,2-6,12-16,7-10,10-13,17-20,10-14,13-17,15-19,1,11-14,13-17,13-16,10-13,2-5,9,10,1-4,5-8,8-12,1-5,6-9,17-20,12-16,1,16,13-16,12-16,7-10,1-3,1-3,2-5,13-17,13-17,3-6,10-13,14-18,2-6,12-15,11-15,0.02,0.19,0.11,17.40,7.00,16.97,14.09,3.96,3.25,0.27,8,-,-,14%,1.90,-,-,81,-,-,-,-,-,0.26,-,10.99,Premier League,Physical,Winger,Scouting Required,0,0.70,0.70,8.92,1.71,4,3.39,0.00,19%,5.71,0.91,33.62,0.12,1.03,0.26,-,,- -  - 
Odilon Kossounou,"D (RC), DM",31,CIV,"6'3""",180 lbs,Fairly Determined,Real Madrid,£26M - £33M,7.04,3,3.04,0,-,1.02,34%,0.35,0.10,65.75,93%,0.67,5,13,30%,1.27,75%,5,2.68,33,29,7.74,5.51,71%,0,0.40,7,7.3mi,8,0,3,46 (8),"3,626",41,4,0,67.15,14,312,4,295.9mi,16,222,108,27,"2,845","2,649",68,51,30/6/2032,"£93,000 p/w",Right,15,1-3,13,13-15,15,14-16,15,1-4,1-2,13,14,2-4,7-9,14,16,11,3-5,5-7,13,12-14,2-4,1-2,13,16,3-5,11,5-8,10-12,14,14,10-12,1-3,16,14,4-6,14,1-3,1-2,1-2,13,14,14,15,13,1-3,11-14,14,0.42,0.20,0.07,6.08,13.08,5.83,3.35,1.51,7.25,0.05,8,-,-,7%,0.67,-,-,27,-,-,-,-,-,0.08,-,3.04,LaLiga EA Sports,Physical,Elite center-back,Media-friendly,0,0.12,0.82,0.32,0.10,0,2.23,0.12,31%,0.32,0.10,70.62,0.10,0.15,0.08,-,,- -  - 
Guillaume Restes,GK,27,FRA,"6'2""",185 lbs,Resolute,AS Roma,£92M - £114M,7.05,0,0.00,0,-,-,-,-,-,30.09,97%,-,0,-,-,0.04,100%,0,0.15,-,0,-,-,-,2,-,0,4.1mi,0,0,0,54,"4,950",0,0,0,91.67,-,-,-,223.1mi,0,-,8,0,"1,702","1,655",2,2,30/6/2035,"£210,000 p/w",Left,16,12,12,15,16,14,14,14,15,15,14,3,1,16,16,2,6,3,13,7,3,13,1,15,13,15,3,1,1,12,2,17,15,14,3,15,5,17,11,14,13,3,12,13,16,17,9,0.00,-,0.00,0.18,5.76,1.09,0.00,0.00,0.16,0.00,-,-1.00,82%,-,0.00,17,-0.02,0,75%,48,41,0.80,0.45,0.00,100%,0.00,Serie A TIM,Shot Stopper,Instinctive goalkeeper,Level-headed,-,-,0.75,-,-,-,-,0.00,-,-,-,30.95,-,-,0.00,1,,- -  - 
Ralf Öttl,"DM, M/AM (C)",22,GER,"5'9""",156 lbs,,Standard Luik,£3.9M - £6.2M,6.83,3,3.11,0,-,1.05,26%,0.27,0.22,45.95,86%,0.97,12,18,31%,1.80,77%,7,1.45,26,45,4.11,1.15,28%,0,0.85,18,8.6mi,2,0,2,38 (16),"3,610",42,9,0,66.85,11,165,5,345.6mi,34,46,58,39,"2,136","1,843",94,72,30/6/2034,"£19,000 p/w",Left,8-11,1-3,10-13,10-13,15-18,14-18,6-10,1-3,1-3,11-15,10-14,4-8,4-7,14-17,8-12,11-14,2-6,4-8,16,12-16,1-5,1-2,4-7,6-10,4-7,13-16,9-12,1-3,11-15,13-16,11-14,1-4,9-12,16,8-11,8-12,1-3,1-4,1-2,13-16,11,7,9-12,14-17,1-4,15-18,13-16,0.05,0.47,0.07,13.26,8.30,8.65,11.44,3.32,6.91,0.12,19,-,-,7%,0.95,-,-,38,-,-,-,-,-,0.08,-,3.11,Jupiler Pro League,Intelligent,Defensive midfielder,Scouting Required,0,0.30,0.65,0.45,0.12,2,2.97,0.17,28%,0.40,0.12,53.25,0.32,0.77,0.08,-,Wnt,- -  - 
Vanja Milinković-Savić,GK,35,SRB,"6'8""",189 lbs,,RSC Anderlecht,£700K - £7M,6.90,0,0.19,0,-,0.02,0%,0.00,-,7.17,52%,-,0,-,-,0.02,13%,0,0.17,-,0,-,-,-,1,-,0,2.7mi,0,0,0,53,"4,734",1,0,0,89.32,0,-,-,140.3mi,0,-,9,0,725,377,8,1,30/6/2032,"£25,500 p/w",Right,5-9,13-17,9-13,6-9,10-13,7-10,12-15,14,11-14,8-11,12-15,11-14,1-4,12-16,13-16,1-3,14-17,2-5,7-10,8-11,16-19,16,5-9,16-19,16,12-16,13-17,1-3,2-5,11-15,5-8,16-19,3-7,10-14,2-5,12-15,10-14,14-17,9-13,6-10,3-6,1-4,7-11,9-13,15,8-12,11-15,0.00,-,0.19,0.10,3.95,9.85,0.00,0.00,0.68,0.01,-,-3.94,84%,-,0.00,29,-0.07,0,78%,71,59,1.05,0.30,0.00,13%,0.19,Jupiler Pro League,Distributor,Veteran goalkeeper,Scouting Required,-,-,7.95,-,-,-,-,0.00,-,-,-,13.78,-,-,0.00,3,,- -  - 
Aleksandar Živković,GK,23,SRB,"6'2""",169 lbs,,PSV,£13M - £16M,7.00,0,0.00,0,-,-,-,-,-,17.03,74%,0.02,1,-,-,0.02,20%,1,0.19,-,0,-,-,-,1,-,0,4.0mi,0,0,0,53,"4,830",0,0,0,91.13,-,-,-,213.1mi,0,-,10,1,"1,235",914,5,1,30/6/2034,"£23,500 p/w",Right,11-14,12-15,13-16,13-17,11-15,10-14,8-12,13,11-15,11-15,14-17,1-4,1-4,13-16,13-17,1-4,1-3,1-4,8-12,1-2,2-6,12,1,12-15,15,11-14,2-5,1-5,1-2,14-17,1-3,12-15,10-13,8-11,1-4,11-15,16-19,14-18,9-12,12-15,7-11,1,12-15,9-12,11-15,8-11,12-15,0.00,-,0.00,0.13,4.58,9.69,0.00,0.00,0.95,0.01,-,14.27,83%,-,0.00,25,0.27,0,81%,70,65,0.91,0.43,0.00,20%,0.00,Eredivisie,Distributor,Goalkeeper,Scouting Required,-,0.02,8.27,-,-,-,-,0.02,-,-,-,23.01,-,-,0.00,2,Wnt,- -  - 
Ferran Torres,"M (R), AM (RL), ST (C)",32,ESP,"6'0""",169 lbs,Resolute,FC Barcelona,Not for Sale,7.17,13,9.72,0,-,2.57,46%,1.17,0.45,31.93,84%,1.96,25,109,22%,2.08,85%,0,1.44,15,32,5.59,2.87,51%,0,3.21,63,8.5mi,1,0,18,22 (31),"2,382",68,12,0,44.94,31,148,28,223.8mi,85,76,38,52,"1,006",845,65,55,30/6/2033,"£150,000 p/w",Right,15,3,10,16,14,16,12,2,1,13,13,8,15,13,16,13,1,15,15,14,11,4,11,13,2,9,12,7,7,16,16,2,15,13,13,7,1,1,3,13,13,7,12,16,2,15,14,0.00,0.23,0.14,13.60,6.23,15.64,13.49,3.36,3.32,0.37,6,-,-,19%,1.74,-,-,46,-,-,-,-,-,0.37,-,9.72,LaLiga EA Sports,Physical,Elite winger,Level-headed,1,0.94,0.57,4.12,1.06,2,2.72,0.00,26%,3.74,0.83,38.01,0.04,0.60,0.37,-,,- -  - 
